                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.2329,                0.84012,                 1.3905,                 0.7245,                0.80246,                0.78826,                 0.4127,                 1.4533,                0.80816,                 1.4668,             0.00042907,             0.00042907,             0.00042907
                     96,                 1.2288,                0.83464,                 1.3785,                0.76588,                0.76599,                0.79839,                0.40358,                 1.5222,                0.80534,                 1.4917,             0.00042174,             0.00042174,             0.00042174
                     97,                 1.2439,                0.85025,                 1.4046,                0.76075,                0.74381,                0.78619,                0.40043,                 1.4827,                0.82563,                 1.4869,              0.0004144,              0.0004144,              0.0004144
                     98,                  1.229,                0.84097,                 1.3992,                0.80095,                0.71452,                0.79876,                 0.4152,                 1.5062,                0.77821,                 1.4971,             0.00040707,             0.00040707,             0.00040707
                     99,                 1.2227,                0.83008,                 1.3887,                0.80754,                0.73342,                0.79592,                0.42007,                 1.4676,                0.79104,                  1.475,             0.00039974,             0.00039974,             0.00039974
                    100,                 1.2175,                0.83074,                 1.3826,                0.78434,                0.77293,                0.79921,                 0.4136,                 1.4723,                0.79614,                 1.4758,             0.00039241,             0.00039241,             0.00039241
                    101,                 1.1927,                0.81408,                 1.3668,                0.74708,                0.76955,                 0.8111,                0.43246,                 1.4589,                0.78563,                 1.4646,             0.00038507,             0.00038507,             0.00038507
                    102,                 1.2207,                0.83487,                 1.3868,                0.77024,                0.74813,                0.80321,                0.42835,                 1.4549,                0.79396,                 1.4658,             0.00037774,             0.00037774,             0.00037774
                    103,                 1.2027,                0.82082,                  1.364,                0.73991,                0.80647,                0.81114,                0.43416,                 1.4696,                0.80386,                 1.4838,             0.00037041,             0.00037041,             0.00037041
                    104,                 1.2069,                0.82516,                 1.3694,                  0.751,                0.79609,                 0.7962,                0.43074,                 1.4833,                0.76785,                 1.4735,             0.00036307,             0.00036307,             0.00036307
                    105,                  1.212,                 0.8231,                 1.3793,                0.77868,                0.77897,                0.81911,                0.43262,                 1.4621,                0.78622,                 1.4622,             0.00035574,             0.00035574,             0.00035574
                    106,                 1.2342,                0.83927,                 1.3846,                0.77262,                0.74683,                0.78415,                0.42588,                 1.4406,                0.79528,                 1.4531,             0.00034841,             0.00034841,             0.00034841
                    107,                 1.2056,                0.80866,                  1.364,                0.77498,                0.75143,                0.80995,                0.42896,                  1.448,                0.79883,                 1.4646,             0.00034108,             0.00034108,             0.00034108
                    108,                 1.2018,                0.81981,                 1.3709,                0.76264,                0.77832,                 0.8032,                0.42981,                 1.4399,                0.79777,                  1.458,             0.00033374,             0.00033374,             0.00033374
                    109,                 1.2071,                0.81293,                 1.3725,                0.77057,                0.75991,                0.79795,                0.43489,                 1.4169,                  0.782,                 1.4413,             0.00032641,             0.00032641,             0.00032641
                    110,                 1.1913,                0.80294,                 1.3572,                0.75255,                0.75579,                0.77414,                0.41686,                 1.4457,                0.79414,                 1.4611,             0.00031908,             0.00031908,             0.00031908
                    111,                 1.2165,                0.80994,                  1.371,                0.72499,                0.77023,                 0.7763,                0.42418,                 1.4361,                0.76207,                 1.4509,             0.00031175,             0.00031175,             0.00031175
                    112,                 1.2052,                 0.8033,                 1.3753,                0.81693,                0.74937,                 0.8093,                0.41861,                 1.4633,                0.77158,                  1.472,             0.00030441,             0.00030441,             0.00030441
                    113,                 1.1972,                0.81641,                 1.3766,                0.81337,                0.73275,                0.79663,                0.43101,                 1.4631,                0.78334,                 1.4604,             0.00029708,             0.00029708,             0.00029708
                    114,                 1.2081,                0.81711,                 1.3651,                0.75232,                 0.7643,                0.79154,                0.42921,                 1.4685,                0.79278,                 1.4587,             0.00028975,             0.00028975,             0.00028975
                    115,                  1.207,                0.80905,                 1.3773,                0.83309,                 0.7514,                0.80108,                0.44299,                 1.4413,                0.78351,                 1.4562,             0.00028242,             0.00028242,             0.00028242
                    116,                 1.1951,                0.80269,                  1.367,                0.70731,                0.76217,                0.75447,                0.40673,                 1.5044,                 0.8304,                 1.4993,             0.00027508,             0.00027508,             0.00027508
                    117,                 1.1899,                0.79382,                 1.3576,                0.74508,                0.75448,                0.78017,                0.42907,                 1.4332,                0.78013,                 1.4556,             0.00026775,             0.00026775,             0.00026775
                    118,                 1.1922,                0.79558,                 1.3701,                 0.8201,                0.73652,                0.79623,                0.43941,                 1.4278,                0.77944,                 1.4467,             0.00026042,             0.00026042,             0.00026042
                    119,                 1.1936,                0.79308,                 1.3684,                0.81867,                0.74497,                   0.79,                 0.4374,                 1.4256,                0.77399,                 1.4469,             0.00025309,             0.00025309,             0.00025309
                    120,                 1.1929,                 0.7858,                  1.364,                0.83177,                0.75193,                 0.7961,                0.42616,                 1.4555,                0.79657,                 1.4687,             0.00024575,             0.00024575,             0.00024575
                    121,                 1.1836,                0.79097,                 1.3565,                  0.731,                0.82036,                0.80491,                0.43985,                 1.4576,                0.76684,                 1.4602,             0.00023842,             0.00023842,             0.00023842
                    122,                 1.1894,                0.79297,                 1.3628,                0.78993,                0.74868,                0.79636,                0.44291,                 1.4271,                0.76858,                 1.4502,             0.00023109,             0.00023109,             0.00023109
                    123,                 1.1868,                0.79061,                 1.3581,                0.79671,                 0.7626,                0.79637,                0.43025,                 1.4674,                0.76224,                 1.4494,             0.00022376,             0.00022376,             0.00022376
                    124,                 1.1816,                0.80038,                 1.3639,                0.78896,                0.72308,                0.79416,                0.43616,                 1.4234,                0.77655,                 1.4502,             0.00021642,             0.00021642,             0.00021642
                    125,                 1.1726,                0.79386,                 1.3461,                0.77017,                0.76457,                0.79985,                0.43846,                   1.45,                0.76945,                 1.4601,             0.00020909,             0.00020909,             0.00020909
                    126,                 1.1811,                0.78155,                 1.3436,                0.78486,                0.77446,                   0.81,                0.45197,                 1.4293,                0.76368,                 1.4536,             0.00020176,             0.00020176,             0.00020176
                    127,                  1.172,                0.77274,                 1.3527,                0.72347,                0.78687,                0.81181,                0.45075,                 1.4429,                  0.753,                 1.4584,             0.00019442,             0.00019442,             0.00019442
                    128,                 1.1847,                0.78094,                 1.3612,                0.80134,                0.75088,                0.81137,                0.44917,                 1.4353,                0.76325,                  1.458,             0.00018709,             0.00018709,             0.00018709
                    129,                 1.1541,                  0.766,                 1.3452,                0.75938,                0.79449,                0.81726,                0.44533,                 1.4472,                0.76627,                 1.4634,             0.00017976,             0.00017976,             0.00017976
                    130,                 1.1592,                0.76262,                 1.3373,                0.83144,                0.72868,                0.80617,                0.44454,                  1.435,                0.76883,                 1.4507,             0.00017243,             0.00017243,             0.00017243
                    131,                 1.1693,                0.76922,                 1.3566,                0.83629,                0.74373,                0.79989,                0.44461,                 1.4435,                0.75946,                 1.4465,             0.00016509,             0.00016509,             0.00016509
                    132,                 1.1738,                0.76665,                 1.3436,                0.81488,                0.74865,                0.79391,                0.44193,                 1.4253,                  0.774,                  1.451,             0.00015776,             0.00015776,             0.00015776
                    133,                 1.1557,                0.75657,                 1.3435,                0.69983,                0.82089,                 0.7957,                0.44532,                 1.4172,                0.76651,                 1.4397,             0.00015043,             0.00015043,             0.00015043
                    134,                 1.1555,                 0.7599,                 1.3312,                0.74104,                0.77139,                0.79905,                0.43791,                 1.4339,                0.77707,                 1.4551,              0.0001431,              0.0001431,              0.0001431
                    135,                 1.1601,                 0.7578,                 1.3339,                0.73374,                0.83457,                0.82746,                0.45708,                  1.415,                0.74903,                 1.4361,             0.00013576,             0.00013576,             0.00013576
                    136,                 1.1471,                0.75162,                 1.3291,                0.76838,                0.77739,                0.81732,                0.44868,                 1.4177,                0.74783,                 1.4334,             0.00012843,             0.00012843,             0.00012843
                    137,                 1.1614,                0.75143,                 1.3348,                0.79847,                0.77608,                 0.8105,                0.44366,                 1.4122,                0.75714,                 1.4366,              0.0001211,              0.0001211,              0.0001211
                    138,                 1.1571,                 0.7526,                 1.3392,                0.78791,                 0.7925,                0.82865,                0.44493,                 1.4293,                0.75016,                 1.4457,             0.00011377,             0.00011377,             0.00011377
                    139,                 1.1498,                0.74428,                 1.3305,                0.77319,                0.76028,                0.80612,                 0.4423,                 1.4188,                 0.7575,                 1.4337,             0.00010643,             0.00010643,             0.00010643
                    140,                 1.1525,                0.75959,                 1.3421,                0.75248,                0.78434,                0.81482,                0.44674,                 1.4221,                0.75312,                 1.4389,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                 1.1091,                0.68811,                 1.3228,                0.80759,                0.75449,                0.81858,                0.43917,                 1.4556,                0.77452,                 1.4493,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                  1.078,                  0.626,                    1.3,                0.79196,                0.79861,                 0.8141,                0.43354,                 1.4432,                0.74898,                  1.454,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                 1.0769,                0.61262,                 1.2981,                0.75125,                0.79355,                0.80065,                0.43637,                 1.4275,                0.74864,                  1.449,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                 1.0755,                0.60821,                 1.3014,                0.72475,                0.82335,                0.79795,                0.43178,                 1.4294,                 0.7527,                 1.4545,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                 1.0751,                0.60526,                 1.3005,                0.79586,                0.74932,                0.80379,                0.43716,                 1.4275,                0.75007,                 1.4511,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                 1.0789,                 0.6081,                 1.3066,                0.73217,                0.80949,                0.80458,                 0.4367,                 1.4262,                0.75998,                  1.453,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                 1.0597,                0.59107,                 1.2888,                0.81253,                0.75717,                 0.8134,                0.44016,                 1.4193,                0.75257,                 1.4433,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                 1.0797,                0.59674,                 1.2924,                0.75928,                0.81733,                0.81322,                0.44325,                 1.4212,                0.75012,                 1.4481,              4.044e-05,              4.044e-05,              4.044e-05
